N,M,Method,Tau,Error,Computation Time
32,25,Arnoldi,1,2.642252078890985e-16,0.003733181953430176
32,25,Lanzcos,1,3.412073638393644e-16,0.0014867782592773438
32,26,Scipy,1,0.0,0.0008301734924316406
32,26,Arnoldi,1,2.66222128970246e-16,0.003920054435729981
32,26,Lanzcos,1,2.0630814761166827e-16,0.0015099287033081056
32,27,Scipy,1,0.0,0.0008301734924316406
32,27,Arnoldi,1,3.065703529144609e-16,0.004122686386108398
32,27,Lanzcos,1,2.0862889719104475e-16,0.001531672477722168
32,28,Scipy,1,0.0,0.0008301734924316406
32,28,Arnoldi,1,5.019079962760611e-16,0.004260587692260742
32,28,Lanzcos,1,2.0630814761166827e-16,0.0015395879745483398
32,29,Scipy,1,0.0,0.0008301734924316406
32,29,Arnoldi,1,3.0420541386998146e-16,0.004544544219970703
32,29,Lanzcos,1,4.549078725680711e-16,0.001562643051147461
32,30,Scipy,1,0.0,0.0008301734924316406
32,30,Arnoldi,1,3.3608896327953316e-16,0.00465238094329834
32,30,Lanzcos,1,2.3159695367423234e-16,0.0015698671340942383
32,31,Scipy,1,0.0,0.0008301734924316406
32,31,Arnoldi,1,4.891797170673721e-16,0.004892587661743164
32,31,Lanzcos,1,2.922584353505881e-16,0.001587820053100586
32,32,Scipy,1,0.0,0.0008301734924316406
32,32,Arnoldi,1,2.66222128970246e-16,0.005042076110839844
32,32,Lanzcos,1,2.7581557752109623e-16,0.0015959739685058594
64,1,Scipy,1,0.0,0.0008172988891601562
64,1,Arnoldi,1,0.05076112574612045,0.0006526231765747071
64,1,Lanzcos,1,0.05076112574612045,0.0006575107574462891
64,2,Scipy,1,0.0,0.0008172988891601562
64,2,Arnoldi,1,0.017934081619454176,0.0010711431503295898
64,2,Lanzcos,1,0.017934081619454194,0.0010692596435546875
64,3,Scipy,1,0.0,0.0008172988891601562
64,3,Arnoldi,1,0.00477965971147143,0.0011465311050415038
64,3,Lanzcos,1,0.004779659711471435,0.0011156082153320312
64,4,Scipy,1,0.0,0.0008172988891601562
64,4,Arnoldi,1,0.0010331227243616078,0.001218891143798828
64,4,Lanzcos,1,0.0010331227243616198,0.001152372360229492
64,5,Scipy,1,0.0,0.0008172988891601562
64,5,Arnoldi,1,0.00018688636766849248,0.0012664556503295898
64,5,Lanzcos,1,0.00018688636766850568,0.0011666297912597656
64,6,Scipy,1,0.0,0.0008172988891601562
64,6,Arnoldi,1,2.8948325065281094e-05,0.0013435840606689452
64,6,Lanzcos,1,2.894832506527918e-05,0.001198148727416992
64,7,Scipy,1,0.0,0.0008172988891601562
64,7,Arnoldi,1,3.9113044907767946e-06,0.0014051437377929688
64,7,Lanzcos,1,3.9113044907682234e-06,0.0012128829956054687
64,8,Scipy,1,0.0,0.0008172988891601562
64,8,Arnoldi,1,4.679328209500895e-07,0.0014787435531616211
64,8,Lanzcos,1,4.679328209777684e-07,0.0012305974960327148
64,9,Scipy,1,0.0,0.0008172988891601562
64,9,Arnoldi,1,5.018082288235665e-08,0.0015432357788085938
64,9,Lanzcos,1,5.018082288808921e-08,0.001245570182800293
64,10,Scipy,1,0.0,0.0008172988891601562
64,10,Arnoldi,1,4.87301219002098e-09,0.0016315698623657227
64,10,Lanzcos,1,4.8730122081416614e-09,0.0012644529342651367
64,11,Scipy,1,0.0,0.0008172988891601562
64,11,Arnoldi,1,4.3217721126498925e-10,0.001724386215209961
64,11,Lanzcos,1,4.321772124842998e-10,0.0013015270233154297
64,12,Scipy,1,0.0,0.0008172988891601562
64,12,Arnoldi,1,3.525875561493433e-11,0.0018312931060791016
64,12,Lanzcos,1,3.525877499956e-11,0.0012983560562133789
64,13,Scipy,1,0.0,0.0008172988891601562
64,13,Arnoldi,1,2.6625109812836673e-12,0.0019220352172851563
64,13,Lanzcos,1,2.662542224862796e-12,0.0013141870498657227
64,14,Scipy,1,0.0,0.0008172988891601562
64,14,Arnoldi,1,1.8708959061927176e-13,0.0020492076873779297
64,14,Lanzcos,1,1.870802189684647e-13,0.0013432741165161134
64,15,Scipy,1,0.0,0.0008172988891601562
64,15,Arnoldi,1,1.2241390840225796e-14,0.002164483070373535
64,15,Lanzcos,1,1.225866717700957e-14,0.0013655662536621095
64,16,Scipy,1,0.0,0.0008172988891601562
64,16,Arnoldi,1,8.071219261604671e-16,0.002535724639892578
64,16,Lanzcos,1,7.796303550071736e-16,0.0015471696853637696
64,17,Scipy,1,0.0,0.0008172988891601562
64,17,Arnoldi,1,4.253151420142141e-16,0.002686905860900879
64,17,Lanzcos,1,3.68807269888147e-16,0.0014945745468139648
64,18,Scipy,1,0.0,0.0008172988891601562
64,18,Arnoldi,1,4.119739996032822e-16,0.0028442621231079103
64,18,Lanzcos,1,3.5821094699185227e-16,0.0014799833297729492
64,19,Scipy,1,0.0,0.0008172988891601562
64,19,Arnoldi,1,4.879971696879825e-16,0.002679276466369629
64,19,Lanzcos,1,4.1168171577819294e-16,0.0014280319213867188
64,20,Scipy,1,0.0,0.0008172988891601562
64,20,Arnoldi,1,3.4141896532565014e-16,0.0028332948684692385
64,20,Lanzcos,1,3.0531133177191805e-16,0.0014346837997436523
64,21,Scipy,1,0.0,0.0008172988891601562
64,21,Arnoldi,1,4.411521516215581e-16,0.0029745101928710938
64,21,Lanzcos,1,5.190737897638199e-16,0.0014497756958007813
64,22,Scipy,1,0.0,0.0008172988891601562
64,22,Arnoldi,1,3.057840721816627e-16,0.0031193017959594725
64,22,Lanzcos,1,3.497780720931476e-16,0.0014645814895629882
64,23,Scipy,1,0.0,0.0008172988891601562
64,23,Arnoldi,1,3.0625608286474634e-16,0.0032743215560913086
64,23,Lanzcos,1,3.4902015555336144e-16,0.001475954055786133
64,24,Scipy,1,0.0,0.0008172988891601562
64,24,Arnoldi,1,3.4113680084329624e-16,0.0034573554992675783
64,24,Lanzcos,1,3.5814373412945527e-16,0.0014884471893310547
64,25,Scipy,1,0.0,0.0008172988891601562
64,25,Arnoldi,1,6.720346508616997e-16,0.0036581277847290037
64,25,Lanzcos,1,3.053901726594225e-16,0.001505875587463379
64,26,Scipy,1,0.0,0.0008172988891601562
64,26,Arnoldi,1,4.124412228887926e-16,0.003784656524658203
64,26,Lanzcos,1,3.1805576606774405e-16,0.0015245199203491211
64,27,Scipy,1,0.0,0.0008172988891601562
64,27,Arnoldi,1,4.1314106709611776e-16,0.003973126411437988
64,27,Lanzcos,1,4.112721694520661e-16,0.0015368223190307616
64,28,Scipy,1,0.0,0.0008172988891601562
64,28,Arnoldi,1,3.0672736719001197e-16,0.0041684389114379885
64,28,Lanzcos,1,3.051535888878301e-16,0.0015644550323486329
64,29,Scipy,1,0.0,0.0008172988891601562
64,29,Arnoldi,1,3.409250242263975e-16,0.0043956518173217775
64,29,Lanzcos,1,3.1896277104429555e-16,0.0015681028366088868
64,30,Scipy,1,0.0,0.0008172988891601562
64,30,Arnoldi,1,3.0570533288019466e-16,0.004584765434265137
64,30,Lanzcos,1,3.4902015555336144e-16,0.0015882015228271484
64,31,Scipy,1,0.0,0.0008172988891601562
64,31,Arnoldi,1,3.0594148998986656e-16,0.004842972755432129
64,31,Lanzcos,1,3.057840721816627e-16,0.0016032218933105468
64,32,Scipy,1,0.0,0.0008172988891601562
64,32,Arnoldi,1,3.340772968599338e-16,0.005045104026794434
64,32,Lanzcos,1,4.0065728604965623e-16,0.001609635353088379
64,33,Scipy,1,0.0,0.0008172988891601562
64,33,Arnoldi,1,4.411521516215581e-16,0.00546271800994873
64,33,Lanzcos,1,3.053901726594225e-16,0.0016311407089233398
64,34,Scipy,1,0.0,0.0008172988891601562
64,34,Arnoldi,1,3.0531133177191805e-16,0.005672025680541992
64,34,Lanzcos,1,3.5774019176566086e-16,0.0016374588012695312
64,35,Scipy,1,0.0,0.0008172988891601562
64,35,Arnoldi,1,3.0672736719001197e-16,0.005922698974609375
64,35,Lanzcos,1,3.5774019176566086e-16,0.0016616106033325196
64,36,Scipy,1,0.0,0.0008172988891601562
64,36,Arnoldi,1,4.110379597693749e-16,0.006184029579162598
64,36,Lanzcos,1,3.5774019176566086e-16,0.0016903638839721679
64,37,Scipy,1,0.0,0.0008172988891601562
64,37,Arnoldi,1,7.841871149431395e-16,0.006466722488403321
64,37,Lanzcos,1,3.0602016852787556e-16,0.0016943931579589844
64,38,Scipy,1,0.0,0.0008172988891601562
64,38,Arnoldi,1,3.0570533288019466e-16,0.006704950332641601
64,38,Lanzcos,1,3.057840721816627e-16,0.0017070531845092773
64,39,Scipy,1,0.0,0.0008172988891601562
64,39,Arnoldi,1,3.4163043574872905e-16,0.007038092613220215
64,39,Lanzcos,1,5.112698325756738e-16,0.0017243385314941405
64,40,Scipy,1,0.0,0.0008172988891601562
64,40,Arnoldi,1,6.732515223982312e-16,0.007221007347106933
64,40,Lanzcos,1,3.1805576606774405e-16,0.0017394542694091797
64,41,Scipy,1,0.0,0.0008172988891601562
64,41,Arnoldi,1,7.824660563377188e-16,0.00749666690826416
64,41,Lanzcos,1,3.1805576606774405e-16,0.0017471790313720703
64,42,Scipy,1,0.0,0.0008172988891601562
64,42,Arnoldi,1,4.879971696879825e-16,0.007758879661560058
64,42,Lanzcos,1,3.0444273447339104e-16,0.0017690181732177735
64,43,Scipy,1,0.0,0.0008172988891601562
64,43,Arnoldi,1,4.1354876261643736e-16,0.008075404167175292
64,43,Lanzcos,1,3.184339987689568e-16,0.0017833232879638672
64,44,Scipy,1,0.0,0.0008172988891601562
64,44,Arnoldi,1,3.425452989923995e-16,0.00838608741760254
64,44,Lanzcos,1,3.5814373412945527e-16,0.0018023252487182617
64,45,Scipy,1,0.0,0.0008172988891601562
64,45,Arnoldi,1,3.0594148998986656e-16,0.008633732795715332
64,45,Lanzcos,1,3.5821094699185227e-16,0.001815199851989746
64,46,Scipy,1,0.0,0.0008172988891601562
64,46,Arnoldi,1,3.4078376670045526e-16,0.008969569206237793
64,46,Lanzcos,1,3.170702494669181e-16,0.001828908920288086
64,47,Scipy,1,0.0,0.0008172988891601562
64,47,Arnoldi,1,3.340772968599338e-16,0.009312105178833009
64,47,Lanzcos,1,3.5039696624640786e-16,0.0018427133560180663
64,48,Scipy,1,0.0,0.0008172988891601562
64,48,Arnoldi,1,5.917619556360557e-16,0.009627413749694825
64,48,Lanzcos,1,3.486751034121081e-16,0.0018673181533813477
64,49,Scipy,1,0.0,0.0008172988891601562
64,49,Arnoldi,1,3.324881634101089e-16,0.010144829750061035
64,49,Lanzcos,1,3.051535888878301e-16,0.0018687009811401366
64,50,Scipy,1,0.0,0.0008172988891601562
64,50,Arnoldi,1,4.4147945634195518e-16,0.010168504714965821
64,50,Lanzcos,1,3.976416080268665e-16,0.0018884658813476563
64,51,Scipy,1,0.0,0.0008172988891601562
64,51,Arnoldi,1,3.4113680084329624e-16,0.01063523292541504
64,51,Lanzcos,1,3.184339987689568e-16,0.0019148826599121095
64,52,Scipy,1,0.0,0.0008172988891601562
64,52,Arnoldi,1,3.0672736719001197e-16,0.010872483253479004
64,52,Lanzcos,1,4.110379597693749e-16,0.0019192457199096679
64,53,Scipy,1,0.0,0.0008172988891601562
64,53,Arnoldi,1,3.409250242263975e-16,0.011207365989685058
64,53,Lanzcos,1,3.053901726594225e-16,0.0019382953643798829
64,54,Scipy,1,0.0,0.0008172988891601562
64,54,Arnoldi,1,3.340772968599338e-16,0.01166393756866455
64,54,Lanzcos,1,3.483988156481097e-16,0.0019510507583618164
64,55,Scipy,1,0.0,0.0008172988891601562
64,55,Arnoldi,1,3.054689931982649e-16,0.012060451507568359
64,55,Lanzcos,1,4.110379597693749e-16,0.001996493339538574
64,56,Scipy,1,0.0,0.0008172988891601562
64,56,Arnoldi,1,3.342213888644168e-16,0.012378120422363281
64,56,Lanzcos,1,3.0420541386998146e-16,0.0019927024841308594
64,57,Scipy,1,0.0,0.0008172988891601562
64,57,Arnoldi,1,4.1314106709611776e-16,0.012691497802734375
64,57,Lanzcos,1,5.117875266520902e-16,0.001988983154296875
64,58,Scipy,1,0.0,0.0008172988891601562
64,58,Arnoldi,1,3.057840721816627e-16,0.013072896003723144
64,58,Lanzcos,1,3.053901726594225e-16,0.002007460594177246
64,59,Scipy,1,0.0,0.0008172988891601562
64,59,Arnoldi,1,5.922905869335887e-16,0.013538050651550292
64,59,Lanzcos,1,3.057840721816627e-16,0.0020349502563476564
64,60,Scipy,1,0.0,0.0008172988891601562
64,60,Arnoldi,1,4.1074500986417573e-16,0.01383509635925293
64,60,Lanzcos,1,5.112698325756738e-16,0.0020342111587524415
64,61,Scipy,1,0.0,0.0008172988891601562
64,61,Arnoldi,1,3.053901726594225e-16,0.01430208683013916
64,61,Lanzcos,1,4.0155757319943717e-16,0.0020584821701049804
64,62,Scipy,1,0.0,0.0008172988891601562
64,62,Arnoldi,1,4.112721694520661e-16,0.01462416648864746
64,62,Lanzcos,1,3.5814373412945527e-16,0.0022321224212646486
64,63,Scipy,1,0.0,0.0008172988891601562
64,63,Arnoldi,1,3.072762853257378e-16,0.01556534767150879
64,63,Lanzcos,1,3.483988156481097e-16,0.0021001815795898436
128,1,Scipy,1,0.0,0.0008547306060791016
128,1,Arnoldi,1,0.037014554441706975,0.0006517171859741211
128,1,Lanzcos,1,0.037014554441706975,0.000657343864440918
128,2,Scipy,1,0.0,0.0008547306060791016
128,2,Arnoldi,1,0.013098995047446268,0.0010610580444335937
128,2,Lanzcos,1,0.013098995047446268,0.0010575056076049805
128,3,Scipy,1,0.0,0.0008547306060791016
128,3,Arnoldi,1,0.0034941291714115008,0.0011541128158569336
128,3,Lanzcos,1,0.003494129171411511,0.0011287450790405274
128,4,Scipy,1,0.0,0.0008547306060791016
128,4,Arnoldi,1,0.0007559187730237594,0.0012235403060913085
128,4,Lanzcos,1,0.000755918773023764,0.0011635303497314453
128,5,Scipy,1,0.0,0.0008547306060791016
128,5,Arnoldi,1,0.00013686521893659882,0.0012899398803710937
128,5,Lanzcos,1,0.00013686521893659873,0.001174759864807129
128,6,Scipy,1,0.0,0.0008547306060791016
128,6,Arnoldi,1,2.1219716821313303e-05,0.0013587236404418944
128,6,Lanzcos,1,2.1219716821312117e-05,0.0012266159057617188
128,7,Scipy,1,0.0,0.0008547306060791016
128,7,Arnoldi,1,2.869765897814509e-06,0.0014218568801879882
128,7,Lanzcos,1,2.8697658978089528e-06,0.001221942901611328
128,8,Scipy,1,0.0,0.0008547306060791016
128,8,Arnoldi,1,3.4365805386083326e-07,0.0014941930770874024
128,8,Lanzcos,1,3.436580538596291e-07,0.0012315273284912109
128,9,Scipy,1,0.0,0.0008547306060791016
128,9,Arnoldi,1,3.689022244911833e-08,0.0015775918960571288
128,9,Lanzcos,1,3.6890222457152476e-08,0.0012562990188598633
128,10,Scipy,1,0.0,0.0008547306060791016
128,10,Arnoldi,1,3.586061939514577e-09,0.0016521215438842773
128,10,Lanzcos,1,3.586061927578611e-09,0.0012688159942626954
128,11,Scipy,1,0.0,0.0008547306060791016
128,11,Arnoldi,1,3.183833899375738e-10,0.0017428159713745116
128,11,Lanzcos,1,3.1838340782982997e-10,0.0012862205505371094
128,12,Scipy,1,0.0,0.0008547306060791016
128,12,Arnoldi,1,2.6004670723608968e-11,0.0018409967422485351
128,12,Lanzcos,1,2.6004679597276324e-11,0.0013102054595947265
128,13,Scipy,1,0.0,0.0008547306060791016
128,13,Arnoldi,1,1.966172021954853e-12,0.0019470453262329102
128,13,Lanzcos,1,1.9661642502437778e-12,0.00132293701171875
128,14,Scipy,1,0.0,0.0008547306060791016
128,14,Arnoldi,1,1.3834022784386868e-13,0.002082633972167969
128,14,Lanzcos,1,1.3836953246703565e-13,0.0013617753982543945
128,15,Scipy,1,0.0,0.0008547306060791016
128,15,Arnoldi,1,9.128795344085692e-15,0.0022140264511108397
128,15,Lanzcos,1,9.126868033533141e-15,0.001369476318359375
128,16,Scipy,1,0.0,0.0008547306060791016
128,16,Arnoldi,1,6.638984145448543e-16,0.0023062705993652345
128,16,Lanzcos,1,6.111842191811377e-16,0.0013846397399902345
128,17,Scipy,1,0.0,0.0008547306060791016
128,17,Arnoldi,1,3.035121688704952e-16,0.0024381160736083986
128,17,Lanzcos,1,2.409954872719146e-16,0.001404738426208496
128,18,Scipy,1,0.0,0.0008547306060791016
128,18,Arnoldi,1,2.9855392350239143e-16,0.0025909900665283202
128,18,Lanzcos,1,2.6479404645468857e-16,0.001434016227722168
128,19,Scipy,1,0.0,0.0008547306060791016
128,19,Arnoldi,1,3.330126928665745e-16,0.0027542829513549803
128,19,Lanzcos,1,2.6251129656189234e-16,0.001439809799194336
128,20,Scipy,1,0.0,0.0008547306060791016
128,20,Arnoldi,1,4.1239744319229893e-16,0.002869415283203125
128,20,Lanzcos,1,4.848420224924966e-16,0.0014551877975463867
128,21,Scipy,1,0.0,0.0008547306060791016
128,21,Arnoldi,1,5.749345734669396e-16,0.0030436038970947264
128,21,Lanzcos,1,4.188845365919224e-16,0.001468968391418457
128,22,Scipy,1,0.0,0.0008547306060791016
128,22,Arnoldi,1,2.991178412915878e-16,0.003196120262145996
128,22,Lanzcos,1,2.681368535587862e-16,0.0014929533004760741
128,23,Scipy,1,0.0,0.0008547306060791016
128,23,Arnoldi,1,3.297435100541205e-16,0.003365492820739746
128,23,Lanzcos,1,2.5107388253704264e-16,0.0014977455139160156
128,24,Scipy,1,0.0,0.0008547306060791016
128,24,Arnoldi,1,4.13039080337747e-16,0.003560042381286621
128,24,Lanzcos,1,2.3502782434736615e-16,0.0015166759490966796
128,25,Scipy,1,0.0,0.0008547306060791016
128,25,Arnoldi,1,2.9935919515653524e-16,0.0036991596221923827
